City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tasiilaq,65.6145,-37.6368,41.16,96,90,6.76,GL,1658977884
kerman,30.2832,57.0788,73.26,68,20,4.61,IR,1658977884
hilo,19.7297,-155.09,86.29,78,40,9.22,US,1658977885
bonthe,7.5264,-12.505,74.1,91,76,5.95,SL,1658977885
alofi,-19.0595,-169.9187,76.89,83,75,11.5,NU,1658977885
iquitos,-3.7481,-73.2472,71.64,100,75,2.3,PE,1658977886
cidreira,-30.1811,-50.2056,60.82,88,100,5.84,BR,1658977886
avarua,-21.2078,-159.775,77.05,69,37,14.97,CK,1658977828
sorland,67.667,12.6934,49.86,78,24,12.41,NO,1658977886
pyapon,16.2833,95.6833,87.01,65,42,7.81,MM,1658977887
ponta do sol,32.6667,-17.1,72.72,74,0,5.3,PT,1658977679
wattegama,6.7989,81.4808,81.18,71,82,0.56,LK,1658977887
homer,59.6425,-151.5483,66.78,68,0,11.99,US,1658977678
sioux lookout,50.1001,-91.917,54.18,96,100,8.23,CA,1658977842
kandrian,-6.2167,149.55,86.04,67,32,13.44,PG,1658977888
richards bay,-28.783,32.0377,63.43,89,88,5.66,ZA,1658977888
puerto carreno,6.189,-67.4859,75.4,91,100,7.25,CO,1658977889
nabire,-3.3667,135.4833,82.36,81,20,2.15,ID,1658977889
lagoa,39.05,-27.9833,71.1,81,0,7.07,PT,1658977889
yumen,40.2833,97.2,88.65,14,68,13.22,CN,1658977823
san carlos,9.6612,-68.5827,71.69,97,69,2.73,VE,1658977890
chicama,-7.8447,-79.1469,57.74,85,41,7.18,PE,1658977890
san ramon de la nueva oran,-23.1322,-64.326,77.43,56,74,1.57,AR,1658977870
nyirvasvari,47.8167,22.1868,59.54,72,70,6.85,HU,1658977891
teknaf,20.8624,92.3058,85.8,69,80,3.76,BD,1658977891
seoul,37.5683,126.9778,90.79,48,15,8.34,KR,1658977872
port hardy,50.6996,-127.4199,63.79,88,70,8.57,CA,1658977891
kalmunai,7.4167,81.8167,81.52,72,85,2.37,LK,1658977616
stokmarknes,68.5646,14.9108,48.18,87,75,8.05,NO,1658977892
noormarkku,61.5927,21.8685,56.98,72,0,6.91,FI,1658977892
mahebourg,-20.4081,57.7,68.25,80,48,11.21,MU,1658977892
la ronge,55.1001,-105.2842,60.1,57,60,4.27,CA,1658977893
san ramon,37.7799,-121.978,76.39,62,0,13.8,US,1658977893
zaidpur,26.8333,81.3333,80.67,65,90,3.94,IN,1658977893
bilma,18.6853,12.9164,83.39,55,81,11.03,NE,1658977894
saint george,37.1041,-113.5841,73.63,76,40,8.05,US,1658977867
faya,18.3851,42.4509,63.12,63,100,4.72,SA,1658977894
warren,39.4334,-84.1666,76.3,83,0,5.75,US,1658977894
howard springs,-12.497,131.047,86.83,41,98,10.63,AU,1658977895
aklavik,68.2191,-135.0107,54.97,57,97,11.25,CA,1658977895
leningradskiy,69.3833,178.4167,39.42,79,94,7.52,RU,1658977896
landau,49.2075,8.1133,62.26,48,99,6.91,DE,1658977896
kushmurun,52.4503,64.6311,64.33,66,57,19.24,KZ,1658977896
tuatapere,-46.1333,167.6833,44.71,94,100,2.73,NZ,1658977896
whakatane,-37.9585,176.9854,60.78,88,81,14.25,NZ,1658977897
san patricio,28.017,-97.5169,84.83,70,4,12.73,US,1658977670
burlington,39.8835,-74.6413,80.83,75,20,6.91,US,1658977897
coihaique,-45.5752,-72.0662,38.01,65,0,3.44,CL,1658977742
santa isabel do rio negro,-0.4139,-65.0192,72.84,94,98,1.63,BR,1658977876
husavik,66.0449,-17.3389,52.9,84,33,9.66,IS,1658977898
yugorsk,61.3133,63.3319,65.88,51,0,3.53,RU,1658977898
bowen,-20.0167,148.2333,66.88,42,0,7.31,AU,1658977899
lavrentiya,65.5833,-171.0,41.95,83,100,7.25,RU,1658977899
camopi,3.1655,-52.3158,71.06,99,100,1.88,GF,1658977899
patrocinio,-18.9439,-46.9925,59.11,55,1,4.5,BR,1658977900
barabinsk,55.3571,78.357,72.43,70,78,5.61,RU,1658977900
khakhea,-24.6895,23.494,59.9,36,79,12.12,BW,1658977900
mishelevka,52.8575,103.1719,68.54,55,99,9.22,RU,1658977901
bagrami,34.4938,69.2743,75.27,68,9,2.89,AF,1658977901
inhapi,-9.2214,-37.7486,61.07,96,0,2.48,BR,1658977901
praia,14.9215,-23.5087,79.34,83,20,1.14,CV,1658977902
kodiak,57.79,-152.4072,56.71,62,0,8.05,US,1658977902
severnyy,50.677,36.5532,66.24,82,0,0.0,RU,1658977902
les cayes,18.2,-73.75,77.23,84,96,3.51,HT,1658977903
rocha,-34.4833,-54.3333,64.53,95,100,9.4,UY,1658977903
san pedro,14.35,121.0167,88.32,74,100,9.46,PH,1658977861
muros,42.7762,-9.0603,61.09,82,90,1.97,ES,1658977903
mayna,54.1135,47.6231,64.38,88,6,4.56,RU,1658977904
samarai,-10.6167,150.6667,78.85,84,82,11.5,PG,1658977904
virginia beach,36.8529,-75.978,82.02,84,75,8.05,US,1658977834
mizdah,31.4451,12.9801,73.06,46,0,1.03,LY,1658977904
port lincoln,-34.7333,135.8667,59.47,64,10,7.4,AU,1658977905
carnarvon,-24.8667,113.6333,73.98,47,100,3.65,AU,1658977867
longyearbyen,78.2186,15.6401,42.64,81,75,17.27,SJ,1658977905
bardiyah,31.7561,25.0865,76.39,79,0,11.7,LY,1658977906
port blair,11.6667,92.75,84.24,79,75,6.91,IN,1658977906
ulladulla,-35.35,150.4667,61.97,50,17,5.84,AU,1658977906
brunswick,41.2381,-81.8418,73.94,90,75,6.91,US,1658977906
george town,5.4112,100.3354,87.73,73,20,8.05,MY,1658977808
sao felix do xingu,-6.6447,-51.995,70.56,56,31,1.7,BR,1658977907
qui nhon,13.7667,109.2333,86.97,65,10,4.0,VN,1658977907
ancud,-41.8697,-73.8203,43.0,92,27,4.09,CL,1658977908
estacion coahuila,32.1939,-115.0017,92.98,31,33,13.31,MX,1658977908
airai,-8.9266,125.4092,69.93,47,12,5.39,TL,1658977908
dikson,73.5069,80.5464,40.51,94,70,13.56,RU,1658977908
moosomin,50.1333,-101.6677,55.58,81,61,8.77,CA,1658977909
belaya gora,68.5333,146.4167,63.32,33,98,13.31,RU,1658977909
anadyr,64.75,177.4833,52.3,87,75,15.66,RU,1658977910
ribeira grande,38.5167,-28.7,72.55,84,30,10.54,PT,1658977871
kruisfontein,-34.0033,24.7314,57.88,91,2,5.01,ZA,1658977910
piacabucu,-10.4056,-36.4344,71.38,86,18,5.55,BR,1658977910
christchurch,-43.5333,172.6333,51.91,91,100,8.05,NZ,1658977895
matara,5.9485,80.5353,78.66,84,96,7.81,LK,1658977711
acapulco,16.8634,-99.8901,80.42,83,75,3.44,MX,1658977911
quime,-16.9833,-67.2167,45.25,62,11,1.21,BO,1658977911
atbasar,51.8,68.3333,70.43,63,8,14.92,KZ,1658977911
guerrero negro,27.9769,-114.0611,68.79,82,57,15.32,MX,1658977912
esperance,-33.8667,121.9,63.28,47,0,17.45,AU,1658977867
pierre,44.3683,-100.351,77.05,54,20,12.66,US,1658977912
carlisle,40.2015,-77.1889,76.98,83,98,4.16,US,1658977705
taoudenni,22.6783,-3.9836,97.23,6,8,16.24,ML,1658977913
fayaoue,-20.65,166.5333,73.31,72,79,16.78,NC,1658977913
faanui,-16.4833,-151.75,78.75,76,13,25.95,PF,1658977910
loiza,18.4313,-65.8802,80.58,81,40,0.0,PR,1658977913
hay river,60.8156,-115.7999,58.6,70,87,5.48,CA,1658977914
bandarbeyla,9.4942,50.8122,77.09,67,100,25.08,SO,1658977914
waldkirchen,48.7327,13.6008,58.06,86,36,3.0,DE,1658977914
hutchinson,38.0608,-97.9298,81.03,72,0,8.05,US,1658977624
fortuna,40.5982,-124.1573,61.92,85,100,11.5,US,1658977915
malakal,9.5334,31.6605,71.19,96,100,2.15,SS,1658977915
manoel urbano,-8.8389,-69.2597,76.21,63,10,1.9,BR,1658977915
sur,22.5667,59.5289,81.05,72,88,15.55,OM,1658977916
manjacaze,-24.7117,33.8828,55.71,93,0,2.04,MZ,1658977916
vestmannaeyjar,63.4427,-20.2734,51.87,74,95,17.25,IS,1658977916
ganzhou,28.8184,115.4327,99.12,39,93,2.82,CN,1658977877
horsham,51.064,-0.3272,60.73,86,0,2.3,GB,1658977917
porto velho,-8.7619,-63.9039,73.45,73,0,1.14,BR,1658977917
roma,43.2128,-75.4557,71.87,84,40,1.01,US,1658977918
gay,51.4666,58.4552,60.66,74,6,9.55,RU,1658977918
trelew,-43.249,-65.3051,40.23,80,2,15.55,AR,1658977620
saint-augustin,51.226,-58.6502,57.69,91,64,7.65,CA,1658977918
clovis,36.8252,-119.7029,95.85,27,75,14.97,US,1658977728
hamilton,39.1834,-84.5333,77.0,90,20,3.44,US,1658977919
itaqui,-29.1253,-56.5531,68.16,84,61,8.16,BR,1658977919
naze,28.3667,129.4833,81.48,82,76,15.68,JP,1658977920
yerbogachen,61.2767,108.0108,73.58,66,45,6.35,RU,1658977920
jasper,37.2001,-94.3502,82.45,74,40,8.05,US,1658977849
klaksvik,62.2266,-6.589,52.72,91,87,14.56,FO,1658977920
labuhan,-6.8844,112.2051,84.9,64,99,7.96,ID,1658977921
nanortalik,60.1432,-45.2371,42.3,85,97,8.34,GL,1658977921
ishinomaki,38.4167,141.3,81.57,76,27,6.87,JP,1658977921
palmer,42.1584,-72.3287,72.01,75,40,0.0,US,1658977915
sisimiut,66.9395,-53.6735,41.68,92,48,1.05,GL,1658977922
agadez,19.75,10.25,84.81,16,44,3.51,NE,1658977922
san andres,12.5847,-81.7006,82.42,100,40,8.05,CO,1658977923
sabla,12.7525,4.7077,80.02,74,100,10.2,NG,1658977923
praia da vitoria,38.7333,-27.0667,72.75,87,64,8.66,PT,1658977923
olinda,-8.0089,-34.8553,71.33,94,75,3.44,BR,1658977922
olavarria,-36.8927,-60.3225,49.01,92,100,15.19,AR,1658977924
krasnoselkup,65.7,82.4667,57.63,68,92,18.07,RU,1658977882
hadgaon,19.5,77.6667,80.38,78,73,3.31,IN,1658977924
koslan,63.4564,48.8989,63.52,59,33,7.2,RU,1658977925
salalah,17.0151,54.0924,77.09,94,100,6.91,OM,1658977925
marathon,44.9,-89.7668,72.64,80,40,5.75,US,1658977925
port shepstone,-30.7414,30.455,64.35,78,100,3.76,ZA,1658977926
hermiston,45.8404,-119.2895,102.02,27,0,4.61,US,1658977926
laguna,38.421,-121.4238,91.31,42,0,8.05,US,1658977926
terney,45.0503,136.6092,72.16,80,51,6.46,RU,1658977927
lalmohan,22.3384,90.7419,86.59,66,94,3.4,BD,1658977927
somerset,40.5668,-74.5496,80.46,75,0,0.0,US,1658977928
jalu,29.0331,21.5482,79.52,51,0,6.11,LY,1658977928
saint-raymond,45.467,-73.6095,73.06,65,20,4.38,CA,1658977840
bathsheba,13.2167,-59.5167,81.21,85,40,19.57,BB,1658977929
milledgeville,33.0801,-83.2321,81.48,84,98,5.53,US,1658977929
dauphin,51.1494,-100.0502,54.05,92,77,6.69,CA,1658977929
bay roberts,47.5999,-53.2648,64.06,93,11,4.0,CA,1658977930
sao filipe,14.8961,-24.4956,78.17,89,89,3.62,CV,1658977680
tezu,27.9167,96.1667,78.28,97,100,1.01,IN,1658977930
lunenburg,44.3835,-64.3155,67.08,75,82,5.53,CA,1658977931
tongren,27.7172,109.1853,89.29,64,91,2.77,CN,1658977931
talnakh,69.4865,88.3972,58.21,63,93,11.88,RU,1658977931
caluquembe,-13.7833,14.6833,53.15,42,71,1.41,AO,1658977932
loa janan,-0.583,117.095,80.92,85,100,2.91,ID,1658977932
hazorasp,41.3194,61.0742,78.64,28,2,9.66,UZ,1658977933
mitsamiouli,-11.3847,43.2844,75.51,69,45,5.86,KM,1658977933
san quintin,30.4833,-115.95,67.5,85,8,11.54,MX,1658977934
mercedes,-34.6515,-59.4307,61.65,94,100,12.55,AR,1658977934
ixtapa,20.7,-105.2,80.22,94,75,5.75,MX,1658977934
lorengau,-2.0226,147.2712,83.88,75,46,13.13,PG,1658977935
soloneshnoye,51.6544,84.3197,73.33,53,37,2.8,RU,1658977935
ust-nera,64.5667,143.2,72.84,41,91,2.17,RU,1658977936
qaqortoq,60.7167,-46.0333,41.97,87,14,2.86,GL,1658977936
torbay,47.6666,-52.7314,63.28,91,100,18.41,CA,1658977936
estelle,29.8458,-90.1067,84.97,76,40,8.05,US,1658977937
qeshm,26.9581,56.2719,87.67,74,100,22.17,IR,1658977937
umm kaddadah,13.6017,26.6876,76.64,70,98,8.3,SD,1658977938
benghazi,32.1167,20.0667,79.54,78,0,6.33,LY,1658977938
quatre cocos,-20.2078,57.7625,68.09,80,28,10.25,MU,1658977938
fare,-16.7,-151.0167,78.35,76,10,25.7,PF,1658977939
coolum beach,-26.5333,153.1,69.12,53,4,6.26,AU,1658977939
huarmey,-10.0681,-78.1522,62.69,86,27,9.78,PE,1658977940
emerald,-23.5333,148.1667,64.35,46,0,13.94,AU,1658977940
taitung,22.7583,121.1444,91.67,62,20,8.05,TW,1658977940
catio,11.2833,-15.25,76.28,87,87,4.79,GW,1658977941
novyy urgal,51.0736,132.5642,81.97,60,100,1.52,RU,1658977941
obo,5.3998,26.4869,67.1,98,100,2.26,CF,1658977879
kingston,17.997,-76.7936,81.55,89,20,5.75,JM,1658977718
black river,18.0264,-77.8487,78.71,84,39,3.76,JM,1658977942
ban nahin,18.2418,104.2122,91.22,58,25,2.93,LA,1658977942
ichinohe,40.2069,141.3017,87.66,50,39,3.98,JP,1658977943
craig,40.5153,-107.5464,76.62,52,0,0.0,US,1658977886
tombouctou,20.0,-3.0,94.14,9,0,9.6,ML,1658977943
mugur-aksy,50.35,90.5,58.51,50,100,2.15,RU,1658977943
raseiniai,55.3736,23.1217,50.43,94,33,8.48,LT,1658977944
aksehir,38.3575,31.4164,66.96,40,0,4.12,TR,1658977944
east wenatchee bench,47.4257,-120.2812,99.59,26,0,14.97,US,1658977944
vaasa,63.096,21.6158,54.95,71,0,8.05,FI,1658977945
medicine hat,50.0501,-110.6683,73.22,40,4,5.41,CA,1658977945
buala,-8.145,159.5921,85.46,66,15,8.1,SB,1658977945
pangnirtung,66.1451,-65.7125,53.87,69,100,1.5,CA,1658977946
mgandu,-5.95,34.1333,55.42,82,72,7.43,TZ,1658977756
labrea,-7.2586,-64.7981,74.19,51,0,1.97,BR,1658977663
alice springs,-23.7,133.8833,60.35,23,2,13.8,AU,1658977946
bage,-31.3314,-54.1069,67.78,83,0,13.8,BR,1658977947
karratha,-20.7377,116.8463,79.48,32,0,16.71,AU,1658977947
plouzane,48.3833,-4.6167,57.25,97,0,3.44,FR,1658977947
beringovskiy,63.05,179.3167,48.61,93,100,3.06,RU,1658977948
mongoumba,3.6415,18.5936,70.07,98,100,1.07,CF,1658977880
saint-pierre,-21.3393,55.4781,68.92,68,0,6.91,RE,1658977948
erzin,36.9559,36.2,75.85,52,0,2.17,TR,1658977948
port-gentil,-0.7193,8.7815,74.84,80,99,13.98,GA,1658977949
astoria,46.1879,-123.8313,63.55,90,100,5.75,US,1658977949
fairbanks,64.8378,-147.7164,61.61,60,75,12.66,US,1658977803
hasaki,35.7333,140.8333,95.29,79,76,16.11,JP,1658977898
san fernando,15.0286,120.6898,91.13,69,98,4.09,PH,1658977950
usinsk,65.9939,57.5281,64.17,55,59,13.29,RU,1658977950
asau,46.4333,26.4,61.72,86,10,4.03,RO,1658977950
viedma,-40.8135,-62.9967,44.53,86,65,8.46,AR,1658977951
soe,-9.8607,124.284,75.47,49,31,11.34,ID,1658977951
voskresenskoye,56.8381,45.4317,64.42,85,92,4.65,RU,1658977951
dongsheng,39.8161,109.9776,77.34,35,0,7.27,CN,1658977952
abu samrah,35.3029,37.1841,76.62,43,0,5.79,SY,1658977952
tutoia,-2.7619,-42.2744,76.05,90,17,8.03,BR,1658977952
pendleton,45.6721,-118.7886,99.79,25,91,11.99,US,1658977822
westport,41.1415,-73.3579,76.01,87,0,6.91,US,1658977683
pindushi,62.9152,34.58,59.86,83,94,4.81,RU,1658977953
jijiga,9.35,42.8,60.12,70,22,13.78,ET,1658977953
bosaso,11.2842,49.1816,87.82,40,69,26.66,SO,1658977953
alta floresta,-9.8756,-56.0861,69.94,44,0,3.49,BR,1658977954
provideniya,64.3833,-173.3,44.71,100,100,6.71,RU,1658977826
shenjiamen,29.9576,122.298,82.89,79,3,14.25,CN,1658977954
odawara,35.2556,139.1597,93.04,73,25,12.55,JP,1658977895
tiruchchendur,8.4833,78.1167,84.49,68,56,4.18,IN,1658977955
locri,38.2414,16.2623,78.31,64,0,7.65,IT,1658977955
college,64.8569,-147.8028,61.59,60,75,12.66,US,1658977896
domoni,-12.2569,44.5319,73.31,72,3,9.73,KM,1658977955
miri,4.4148,114.0089,84.54,66,99,1.41,MY,1658977956
quelimane,-17.8786,36.8883,60.49,81,0,2.75,MZ,1658977956
cortez,37.3489,-108.5859,72.36,57,75,5.75,US,1658977956
dwarka,22.2394,68.9678,82.71,76,89,9.08,IN,1658977957
kudahuvadhoo,2.6708,72.8944,82.49,74,99,14.81,MV,1658977957
tigil,57.8,158.6667,57.24,89,100,3.0,RU,1658977958
vallenar,-28.5708,-70.7581,60.35,60,89,0.83,CL,1658977958
tomatlan,19.9333,-105.25,78.33,83,100,1.34,MX,1658977958
diego de almagro,-26.3667,-70.05,56.1,57,100,0.81,CL,1658977959
ngunguru,-35.6167,174.5,59.22,80,83,16.42,NZ,1658977959
cururupu,-1.8283,-44.8683,73.72,89,37,2.04,BR,1658977959
bestobe,52.4994,73.0975,74.91,51,95,8.59,KZ,1658977960
santa maria,-29.6842,-53.8069,65.07,89,96,4.56,BR,1658977744
